601870006400040029900299  19940670000001150208000029 PR-05006000000576278.34170058.7911026826
601840057500010005600056  20102010000000230608000029 06294000000482575604.66171506.5611026826
601840057100010006500065  20102010000002940608000029 06294000000000575618.84171528.2111026826
6018400976000570083000000020140710000001020638000029 PR-06483100000576033.57170679.8711026826
601900052100010027700277  20072880000001740572210029 06038000000126572936.15170717.2511026826
601900052100010027700277  20072880000011520578000029 06038000000000572947.84170728.4611026826
601900052100010027700277  20072880000005730578000029 06038000000000572947.84170728.4611026826
6018900188000500034000000020142180000005300598000029 06131000000000573784.48170887.4411026826
6019301158000400127000000020142200000000150528000029 PR-05709100000572105.39167747.6811026826
6019301158000600127000000020142200000001350528000029 PR-05709100000572117.63167749.7211026826
601840017300020005500498  20130030000001580632200029 06358000001149576544.44171389.7011026826
601890030500010004600046  20072320000004720548000029 06072000000000575214.00170821.1511026826
602050037000010023300233  20072110000000750432210029 06046000000189575589.31165021.9111026826
602060057300030001500015  20072950000008450498000029 06082000000000573982.90165532.2511026826
6020600799000570022000000020142960000001860578000029 PR-05507000000574792.98166114.1011026826
6020600800000270022000000020142960000019610598000029 PR-05507000000574801.39166142.2411026826
602060061500030045200452  20072970000010900468000029 06083000000000574043.07165235.5211026826
602060061500030045200452  20072970000000850468000029 06083000000000574043.07165235.5211026826
6019700019000400006000000020150470000008500568000029 06082000000000576020.50167637.6211026826
6019700666000400308000000020150470000001630608000029 06082000100000575986.35167720.3011026826
602090043600030017700184  20080700000000560228000029 PR-05124100000572476.68162132.2811026826
602090043000040000600182  20080700000003260228000029 PR-05125100000572477.36162112.2711026826
601900051300050031400314  20080730000001240608000029 PR-05172100000572860.06170687.4011026826
6018800686000100498000000020143210000011360508000029 06175000000000572988.96169757.3511026826
601890063700020039300398  20062140000003530758000029 06065000100000573316.23171705.6111026826
601950052600010023100252  20080920000048110468000029 06053000000000574908.98168162.1111026826
6020600588000200450000000020143090000001320408000029 PR-05508000000574140.98165270.2311026826
601940020300020003100031  20062540000045580498000029 06028000000000573480.23166797.8211026826
601870094800030006900637  20080300000007260698000029 PR-05437000000575536.03168815.3811026826
6018400812000100055000000020143370000003520642200029 06408000001406576331.10171137.9911026826
601920038400000024800248  20061810000035280398000029 PR-05128000000572073.13169293.2511026826
601920037700000024800248  20061810000046610438000029 PR-05128000000572069.26169238.9811026826
602060062700050026800268  20073590000000960592210029 06084000100070573816.50165286.2911026826
602090007400000014900149  20073610000025580438000029 06031000000000572737.95162200.2211026826
601840055100010081400814  20062470000001200568000029 06206000000000575418.55171472.9711026826
602090042800000018100181  20073200000033700228000029 PR-05120000000573601.77162985.3211026826
601870105000040018900189  20073240000008160698000029 06123000100000576345.55168786.3611026826
602070071200020022800228  20073540000007530228000029 PR-05131000000571580.53165292.5411026826
6018900300000600185000000020150260000001490498000029 06138000000000575087.45170806.2211026826
6018900300000600185000000020150260000000350492210029 06138000000305575096.03170828.5711026826
6018900300000600185000000020150260000000250492210029 06138000000304575087.52170810.0411026826
6018900427001400195000000020150260000048670228000029 06138000000000573897.13170909.5511026826
601930133300000012700732  20073540000046430228000029 PR-05501000000571786.92167325.2211026826
601930136000000012700732  20073540000011610228000029 PR-05501000000571674.61167384.2611026826
602080121100300047400474  20080880000003080468000029 06094000000000571835.11163555.7711026826
601930053200040013700137  20080850000000050528000029 06108000100000569279.49167505.7911026826
6019000262000400232000000020150430000001520602200029 06068000100067572215.97170403.9211026826
601840098900020028900289  20061600000000980632210029 06192000100311576009.42170738.8911026826
601840098900020028900289  20061600000002710638000029 06192000100000575999.44170733.5511026826
601930125400000012700732  20073540000055770228000029 PR-05501000000572114.74168795.3211026826
601900049600000017800178  20080360000001830562210029 06041000000261572778.45170593.1511026826
601960015200060009800098  20062820000001870662210029 06028000100036575217.22167782.5211026826
601860050900050003400325  20062300000000650228000029 PR-05270000000576657.25170289.0011026826
601840093800010069100691  20062610000011840388000029 06208000000000576032.26170498.0811026826
602110071900000029400304  20073550000007380228000029 PR-05211000000576233.30162433.9311026826
6018800051002700146000000020150400000002240538000029 PR-05537100000575382.17170504.2011026826
6019200225002470008000000020143440000013000588000029 PR-05210000000571318.06169547.9311026826
601840098600010042400424  20080350000007140618000029 06224000000000575966.08170776.0511026826
601950006500080013900146  20073610000000350408000029 06050000000000573345.60167837.7611026826
601950006500080013900146  20073610000001450408000029 06050000000000573345.60167837.7611026826
601870098800000006900637  20080300000012060228000029 PR-05437000000576350.70168272.2911026826
601870103900020006900637  20080300000030780078000029 PR-05437000000576767.51168812.3611026826
601930173000000012700732  20073540000002710228000029 PR-05501000000570451.88168260.6111026826
601930175200000012700732  20073540000016330228000029 PR-05501000000570338.14167745.6111026826
601930178400000012700732  20073540000090250228000029 PR-05501000000570111.63168423.0011026826
602030055300020030400331  20073540000028600228000029 PR-05187000000577471.26164066.7311026826
602030055400030030400331  20073540000019850228000029 PR-05187000000576950.12163680.2811026826
602030059300000030400331  20073540000020120228000029 PR-05187000000576060.77163119.7411026826
602030064400000030400331  20073540000002750518000029 PR-05187000000576530.70163035.9111026826
602030066000000030400331  20073540000007470228000029 PR-05187000000576834.27162887.0511026826
6019200225001800010000000020150070000013450588000029 PR-05211000000571336.47169529.1911026826
601840065000010005500909  20062830000002530628000029 PR-05969000000575795.21171257.4811026826
602100009200000000500187  20062960000048630468000029 PR-05104000000573675.79163643.6511026826
602100010900030000500187  20062960000003620598000029 PR-05104000000573730.16163638.5611026826
602070072300000022800228  20073540000011580228000029 PR-05131000000572888.87164472.9511026826
602070093200000022800228  20073540000055440228000029 PR-05131000000572478.98165560.9411026826
601870079000070062800628  20063200000000460198000029 PR-05384100000574624.54169132.3111026826
601840015300010026700267  20062920000015030638000029 PR-05965000000576087.95171750.5611026826
601840021600090091500915  20063280000003290632210029 PR-05984001049576140.78171425.5811026826
601940022900000001200012  20070450000280140388000029 PR-05136000000573495.15166654.4911026826
602060073100090036000487  20063030000003880468000029 06075000000000573678.76165755.3911026826
602080087200010059000591  20063130000007050468000029 PR-05304000000570851.57163958.4911026826
602080090000000059000590  20063130000139190468000029 PR-05304000000570797.05164259.8611026826
601960033600000016500165  20063180000159980328000029 PR-05131000000575388.87166337.3111026826
6018700841000870034000000020150140000023730468000029 PR-05676000000574318.05169217.6311026826
6020800638000670048000000020150090000011750408000029 PR-05562100000570490.40162665.0911026826
601860029400010002400024  20063100000094510388000029 06086000000000577338.54168676.4011026826
602080087200030005000588  20062510000001550468000029 PR-05300000000570567.11164170.3611026826
601920030600020001800063  20063240000032780498000029 PR-05131000000571576.71169204.0111026826
6018800027001870041000000020150550000012320598000029 PR-05542100000575763.30170713.9011026826
6018800027001370041000000020150550000006550568000029 PR-05542100000575780.49170776.3511026826
601840037200060072500910  20062560000000440608000029 PR-05974100000575739.81171447.3611026826
602080131100090029700571  20092950000000200228000029 06116000100000570415.04164279.8711026826
601880025000070044300597  20092290000003200568000029 PR-05393000000573594.27170441.7111026826
601880051000060049200492  20092860000006150568000029 PR-05398100000573698.71169841.6811026826
602030023400010021600216  20062690000002090328000029 PR-05161000000576542.45164151.4111026826
602030048700010021600216  20062690000026350498000029 PR-05161000000577293.10163308.4611026826
602080107400040057300596  20070880000000990408000029 PR-05312100000571563.06164600.9711026826
6018400672000200460000000020152040000000070758000029 06395000000000575545.92170900.1111026826
6018400682001000516000000020152040000005700758000029 06395000000000575531.82170883.4411026826
6018600391000100214000000020152470000001340662210029 06148000000138577821.17169409.3911026826
601860037800010023200232  20010720000045740708000029 06030000000000577796.39169273.5711026826
602060049000090045000511  20092790000000360538000029 PR-05385100000574724.79164732.2511026826
601950018500040008800088  20092900000027610388000029 PR-05222000000574027.25167938.7611026826
602050039600030003700037  20071300000020210758000029 06044000000000575933.48165562.3111026826
602110004500020002900029  20010990000000390178000029 06018000000000575155.37162296.3711026826
602110004500020002900029  20010990000001450172210029 06018000000100575166.43162263.6711026826
602110002200020003600036  20010990000000670192210029 06018000000123575206.90162041.9211026826
602110002200020003600036  20010990000000920192210029 06018000000124575187.68162039.7811026826
602110002200020003600036  20010990000025470198000029 06018000000000575187.65162085.9011026826
602110002700010003600036  20010990000187960568000029 06018000000000575275.55162030.1011026826
602060072700050016200162  20011100000009140598000029 06038000000000573593.69165641.7911026826
602110008300040006300063  20010990000029630198000029 06018000000000575151.12161998.2411026826
602110008300040006300063  20010990000001980192210029 06018000000129575151.12161994.6511026826
602110037000050015800158  20010890000000660588000029 06023000000000574362.18161472.8811026826
602110037000050015800158  20010890000007230588000029 06023000000000574362.18161472.8811026826
602110004600010007600076  20010990000004600182210029 06018000000091575188.62162358.8311026826
602110002700020009800098  20010990000000440522210029 06018000000127575234.35162028.7811026826
602110003700030011600116  20010990000000380512210029 06018000000118575151.84162100.1411026826
602110002700030022100221  20010990000010790588000029 06018000000000575213.56161987.0611026826
602110000300010022400224  20010990000000930462210029 06018000000096575201.48162300.4911026826
601960000300030005400054  20011200000005430568000029 06013000000000576093.59167799.0411026826
601880091600070014600146  20092850000000190468000029 06119000100000572476.75168506.6011026826
601880091600060014600146  20092850000000520468000029 06119000000000572462.03168507.0711026826
601970036900160030100301  20011070000001010622210029 06025000000047576592.44166984.2111026826
601960008200070010500105  20092680000001230182210029 06040000000069576004.05168071.0311026826
601960008200070010500105  20092680000000330188000029 06040000000000576014.91168076.4411026826
601930172700010010700660  20010030000150100498000029 PR-05231000000570268.99168405.7511026826
601840123500060005500925  20092710000000370608000029 06272000100000575973.11170322.8911026826
602090036500000013700137  20011140000017740488000029 06021000000000573513.59162635.6011026826
602090036500000013700137  20011140000054720488000029 06021000000000573513.59162635.6011026826
601930148000000066100661  19991790000015730468000029 PR-05232000000570541.17168183.5411026826
601840019300120005500656  20092640000008280638000029 06275000000000576337.45171423.2111026826
6019200058000300037000000020152520000019120528000029 06073000000000570023.52169625.6611026826
602080054200050004200042  20093060000000100228000029 06115000100000570164.30163080.1711026826
6020800670000100032000000020150890000003540598000029 06172000000000570594.17162595.0011026826
601840112800050012600126  20100080000000090608000029 06282000100000575986.19170143.9711026826
6018700103000900075000000020152390000191850328000029 PR-05694000000576516.90169561.1211026826
6018700481000600075000000020152390000000700738000029 PR-05694100000575650.76168643.3311026826
6018700679000100075000000020152390000036690638000029 PR-05694000000575122.40168976.7811026826
6018700805000000075000000020152390000024890568000029 PR-05694000000574500.93168988.5311026826
6018700808000000075000000020152390000014850468000029 PR-05694000000574352.20168889.5911026826
601890045700060019500414  20093010000005970568000029 06087000100000574815.08171600.3111026826
6018700081001200227000000020152710000002260532200029 06227000100635576228.94169796.1711026826
601880108700030009900450  20011560000010730558000029 06037000000000573136.53168904.2311026826
601920018800030022700227  20010800000002750648000029 PR-05066000000571441.70170073.1311026826
602080118500000029700297  19993410000010680198000029 PR-05128000000571599.18163897.8311026826
601870027600140006200062  20100320000006340698000029 06146000000000576057.49169613.7411026826
601870099900030035500652  20100320000030810598000029 06146000000000576257.22168622.3711026826
601880092100050014600599  20100200000002420558000029 06121000100000572488.95168500.9211026826
601870086400070028900550  20003540000004090608000029 PR-05143000000574708.00169651.9111026826
601870100900010032100321  20100320000014910218000029 06146000000000576188.33168889.3411026826
602080103400050017100171  20093490000002780228000029 PR-05390100000570827.68164759.8311026826
601840050000000011100111  20011730000000200522210029 06096000000076574967.37171629.4811026826
601870050000030006900659  20091900000026660228000029 PR-05484000000575941.01168498.0011026826
601870045500000001200309  19983100000005280208000029 PR-05157000000575791.72168240.7811026826
601870064100020001200309  19983100000002270078000029 PR-05157000000574109.57168871.4811026826
602090013400030000900009  20011370000040040408000029 PR-05051000000573025.54161574.0611026826
602080043100000044700447  20000880000001870598000029 PR-05132000000569980.97164122.9711026826
602050072600000022900229  19992790000000890568000029 PR-05094000000575806.14163581.9411026826
602060066700040016100161  20011850000036010468000029 06041000000000573460.27165718.3511026826
601930085600080025300628  20003290000007960468000029 PR-05234000000571334.80168303.9111026826
601930175600010015400154  20011930000009490468000029 06057000000000570130.27167873.6111026826
6020801180000070052000000020152640000000470208000029 PR-05582000000571749.27163728.4511026826
601880100000020028000280  20011990000000660202210029 06040000000461572869.05168433.4511026826
601880039900040010400104  20011780000003260228000029 06038000000000574585.26169982.1711026826
601880040000000010400104  20011780000012790488000029 06038000000000574606.32170058.5611026826
601890059600020014600146  20011660000005100468000029 06033000000000573568.60171859.5011026826
601840025700020079600796  20012020000000600638000029 06098000000000575890.34171579.7311026826
601880068300000047700477  20011940000023790628000029 06043000000000573072.40169657.8611026826
601840019600000005500548  19992630000070610638000029 PR-05580000000576227.12171440.3411026826
601840020000000005500548  19992630000005830638000029 PR-05580000000576176.25171379.2211026826
601840021200000005500548  19992630000074040638000029 PR-05580000000576148.93171285.1211026826
601840039000010005500656  19992630000000850528000029 PR-05580000000575569.98171585.3611026826
602080009300000014000274  20012540000037940568000029 PR-05136000000569852.39165129.8111026826
602080012800000014000274  20012540000012230408000029 PR-05136000000570021.71165262.0811026826
602060073200020002900029  20023030000007510198000029 PR-05191000000573772.41165766.2411026826
602060073400020002900029  20023030000018650398000029 PR-05191000000573862.18165796.6511026826
602060073500000002900029  20023030000008060598000029 PR-05191000000573837.49165811.7311026826
601840073000010043300433  20012320000006450638000029 06085000000000575873.23171234.6911026826
601890065800000023300233  20012320000001220192210029 06035000000013573178.54171794.5711026826
601890065800000023300233  20012320000017330198000029 06035000000000573184.09171808.6511026826
601940058100000020900209  19983490000063820308000029 PR-05068000000572557.03165723.8211026826
602110024100020021500215  20012320000011450398000029 06024000000000573684.65161710.4811026826
6018600491001300266000000020130460000025560748000029 06124000000000576740.03170047.9411026826
601880001900160014600422  19992790000007640568000029 PR-05171000000575763.53170611.4011026826
602050046000020030500305  20000870000007610408000029 PR-05097000000575411.26165004.8311026826
602050046000020030500305  20000870000015670408000029 PR-05097000000575411.26165004.8311026826
601950005100030018900189  20012320000000200392210029 06029000000059573195.97167610.5511026826
601920034800000021200212  20023230000002210398000029 06027000000000571711.46169175.7211026826
602080001600000014000274  20012540000064850328000029 PR-05136000000569530.72165077.6611026826
602110024200000021500215  20012320000001040188000029 06024000000000573675.86161682.6811026826
6018600491001200266000000020130460000003680732200029 06124000100356576660.00170085.8011026826
6018600491000600278000000020130460000000660388000029 06124000000000576801.59169949.6211026826
6020800580000100040000000020130650000062010408000029 06152000100000570642.31163257.5911026826
6018400607000100755000000020130460000001000608000029 06361000000000575723.41171316.3911026826
6018900143000270054000000020171150000000920202210029 PR-05427000094573429.75171286.0811026826
6019301064000770019000000020171450000005570488000029 06216000100000571684.16168283.1611026826
6020801331000100297000000020130650000006240228000029 06152000000000570592.71163037.1711026826
6020801331000300297000000020130650000002290228000029 06152000100000570603.23163235.5411026826
6020600726000570027000000020160410000022010558000029 PR-05537000000573710.79165699.8611026826
6018600937001500034000000020160530000223500328000029 PR-05477000000578090.14169680.7911026826
6020700395000000014000000020160080000027510408000029 06044000000000571406.61165527.6711026826
6020500603000070028000000020152970000002700208000029 PR-05364000000575271.94164164.5111026826
6020500604000170028000000020152970000001840488000029 PR-05364000000575255.09164264.6211026826
6020500606000270028000000020152970000005410328000029 PR-05364000000575327.92164219.8711026826
6018900221001070022000000020121040000017930638000029 PR-05356000000574050.11170952.8211026826
6020801331000400297000000020130650000013540228000029 06152000000000570598.26163281.6011026826
6021100175000170019000000020152740000054310598000029 PR-05326000000573993.81161926.0111026826
6021100264000270020000000020152740000008330458000029 PR-05326000000573734.73161535.6311026826
6019500487000500207000000020170820000031060448000029 06090000000000575186.63168177.8711026826
6018400686000200055000000020130880000033070652210029 06367000000184575756.08170982.7111026826
6020500276000100331000000020130880000021160408000029 06062000000000575464.01164336.5411026826
6019300013000400113000000020160080000039910328000029 06205000000000568307.01169765.6511026826
6018600039000000037000000020130280000003090568000029 PR-05427000000578589.28169057.2211026826
6018600150000000037000000020130280000051080678000029 PR-05427000000578398.24168864.0811026826
6018600275000000037000000020130280000087400388000029 PR-05427000000577615.84168311.6311026826
6018600349000300037000000020130280000103850568000029 PR-05427000000577509.91168663.7111026826
6018800067000200525000000020153430000004910568000029 06181000100000575322.16170093.8011026826
6019301570000000019000000020153240000049960568000029 PR-05732000000569889.15169484.4611026826
601840003600000005500428  19992630000006110568000029 PR-05405000000575222.86171922.8511026826
601840003600000005500428  19992630000003880568000029 PR-05405000000575222.86171922.8511026826
601840003700000005500428  19992630000002960518000029 PR-05405000000575087.87171935.3611026826
601840017600020005500443  19992630000000420638000029 PR-05405000000576285.79171561.9711026826
601840081200070005500443  19992630000207780648000029 PR-05405000000576458.71171247.6311026826
601840081200040005500443  19992630000011200648000029 PR-05405000000576510.47171212.8711026826
601840081200050005500443  19992630000012500668000029 PR-05405000000576472.03171122.1211026826
601840081200050005500443  19992630000022790668000029 PR-05405000000576472.03171122.1211026826
6019301903000000624000000020172150000263420498000029 06218000000000568434.73168251.1211026826
6020700475000400032000000020172190000000520328000029 06053000000000571195.33165805.9611026826
6020800116001200136000000020171600000002560442210029 06183000000308569865.59164920.9211026826
6020800116000500136000000020171600000001020562200029 06183000000307569835.62164926.9911026826
6020600208000900354000000020153480000000420262200029 06135000000274574177.72164929.0711026826
6019400293000100036000000020171280000010880528000029 06066000000000572820.55166127.7111026826
602060034000040010700107  19981660000069700328000029 PR-05194000000575024.26165900.1611026826
602060083500000010700107  19981660000012340328000029 PR-05194000000574319.41166247.5311026826
602060083800000010700107  19981660000120920328000029 PR-05194000000574307.74166299.1011026826
601950020100000026500266  20030060000000580468000029 PR-05119000000573559.16167279.5811026826
6018700498000900566000000020172130000038210568000029 06247000100000575687.33168676.9311026826
602030021200020000600109  20001790000026420188000029 06014000000000576245.95163221.4511026826
6020801034001400297000000020130630000000040528000029 PR-05497100000571377.43164841.9211026826
6018400585001000055000000020130950000000120678000029 06363000100000575447.88171334.0311026826
6018400582002000055000000020130950000006980468000029 06363000000000575485.15171325.9511026826
6018400582002000055000000020130950000010440468000029 06363000000000575485.15171325.9511026826
6019600020000600142000000020171350000002780658000029 06062000000000576264.09167938.3711026826
6019000448000100034000000020183620000031100518000029 06086000000000572380.27170384.7911026826
6018900184001070045000000020183590000006620478000029 06173000100000573895.92170839.1711026826
6018900675000270056000000020183490000002910752210029 06170000000002572993.67171724.5411026826
601880004300020046000460  20030410000005030548000029 06051000000000575675.25170208.2911026826
601930173600000064300643  20001750000018170468000029 06047000000000570179.37167955.3911026826
601870032100020012200570  20030370000004580508000029 PR-05219000000575854.12169506.9311026826
601870032100020012200570  20030370000001060502210029 PR-05219000090575849.13169503.9011026826
6020801190001400297000000020130300000007660228000029 PR-05490100000572146.63164006.1311026826
6019300339001570020000000020123240000003380488000029 PR-05674100000568537.26167313.9311026826
6020700779000170010000000020130530000317860498000029 06033000000000571891.16165256.8411026826
601930151300000049400494  19927200000051450678000029 00000000000000570672.76168710.7711026826
6020800119000800297000000020183520000001140608000029 PR-05657000000569899.94165160.1011026826
6020900125000100003000000020183610000002170468000029 PR-05188000000572928.37161786.7011026826
6020900170000700003000000020183610000002700468000029 PR-05188000000572462.18161936.5411026826
6020900170000800003000000020183610000008590468000029 PR-05188000000572457.03161946.9211026826
6019300313000200002000000020130590000004600398000029 PR-05678000000568875.41167815.3511026826
6019301705000000098000000020130590000079340498000029 PR-05678000000569414.53168912.8111026826
602080073300010003800038  20001850000085280188000029 06033000000000571088.33162953.7611026826
602080073300120003800038  20001850000001180188000029 06033000000000571022.17163018.2611026826
602080074300020000700007  20001850000000610228000029 06034000000000570898.88163041.7011026826
601930154100000003200032  19927200000004000228000029 00000000000000570480.11168998.6411026826
601930155200000023300233  19927200000023640468000029 00000000000000570154.89169176.1411026826
601930155600000001900038  19927170000058740498000029 00000000000000569920.90168997.5711026826
601930156100000023300233  19927200000003660328000029 00000000000000570090.80169135.6311026826
601930156300000001900038  19927170000188180568000029 00000000000000569990.97169261.3711026826
602050027300030026200262  20030030000001410578000029 06036000000000575435.13164289.8611026826
602050027300030026200262  20030030000001630578000029 06036000000000575435.13164289.8611026826
602110092700000006300285  19981050000018960498000029 PR-05080000000574848.93161848.0411026826
601930160000000010700107  19927170000111920498000029 00000000000000569686.21169228.7211026826
601930163300000004300043  19927170000084090498000029 00000000000000568790.85169188.2311026826
601930164300000005100051  19927170000104990568000029 00000000000000568911.72169104.7511026826
601930164500020005100051  19927170000086160328000029 00000000000000568913.74168958.3311026826
601930162600000007100071  19927200000061550498000029 00000000000000569155.60169357.1311026826
601930166000000004900049  19927170000165720498000029 00000000000000568506.23169165.1511026826
601930166700000003000030  19927170000028250568000029 00000000000000568406.07168947.9511026826
601930168100000001500015  19927170000114680328000029 00000000000000568474.53168698.3111026826
601930168300000001500015  19927170000039430678000029 00000000000000568557.93168724.9311026826
601930169700000005600056  19927170000204420498000029 00000000000000568878.79168719.1811026826
601930170100000006900069  19927170000011660328000029 00000000000000568973.93168965.1211026826
601930165400000004900049  19927170000006960598000029 00000000000000568492.33168838.9111026826
601930171300000009800126  19927170000011880468000029 00000000000000569714.00168862.6611026826
601930172700020057500575  19973650000005740518000029 00000000000000570212.59168393.3511026826
601930173500000001200012  19927170000084740498000029 00000000000000570267.75168029.3411026826
601930174100000019200192  19927200000068700568000029 00000000000000570502.70168113.6411026826
602060066700160042000420  20021930000000750462210029 06049000000150573531.75165712.7911026826
601840113500050045400454  20002900000000770612210029 06079000000771575788.74170177.5411026826
601930171000000001900038  19927170000010430468000029 00000000000000569626.14168994.8811026826
6020600587000900057000000020130570000000420408000029 06114000000000574092.95165296.2211026826
602080043900020032200322  20001850000002050508000029 06029000000000569943.26164312.5111026826
6020801213000100546000000020130420000001650562200029 06151000000557571678.96163539.7111026826
6018700075001600191000000020123550000000080558000029 PR-05632100000576027.91169826.3811026826
6018700103002200005000000020190190000139130598000029 06269000000000576639.52169680.1311026826
6018600927003500034000000020130980000159560228000029 06125000000000576998.37169948.8211026826
6018700721000900069000000020162370000002110488000029 PR-05727100000575560.55169105.7111026826
601870073200010054700547  20022210000051950488000029 06066000000000575368.17168997.3911026826
601900072200020029300293  20022110000135020308000029 PR-05084000000571719.32170365.7711026826
602080070200010054500550  20013130000013240328000029 PR-05170000000571512.20162898.1511026826
602030027200020001500162  20000350000057550328000029 PR-05097000000576629.56163976.3311026826
602030059400000001500015  20000350000001280512210029 PR-05097000073576243.22163182.3711026826
602030059400000001500015  20000350000007670512210029 PR-05097000070576216.46163150.8011026826
602030059700000001500015  20000350000481170568000029 PR-05097000000576130.47163056.7411026826
601960005900000014800148  20020850000007510708000029 PR-05078000000575914.50167977.5511026826
601930149200010065200652  20001920000070790468000029 PR-05208000000570694.23168334.8811026826
6018400094000700159000000020171990000005420602200029 06462000100516575618.13171818.1111026826
6018600543000070027000000020171600000011900428000029 PR-05504000000577812.62169645.5211026826
6018900551000070055000000020171650000038880568000029 PR-05429000000574002.10171892.1311026826
601970028500020023000230  20003270000001250192210029 06022000000178576595.84167444.3211026826
6020800807000200297000000020130530000002610228000029 PR-05494100000570761.44163675.4511026826
6020300435000270009000000020130520000041690468000029 PR-05257000000577290.82163055.6811026826
601900052300020028500285  20022490000001010582210029 06020000000121572959.13170777.4411026826
601930047700000012800128  20001730000001920498000029 06041000000000568906.53167629.7911026826
601930047700000012800128  20001730000026020498000029 06041000000000568906.53167629.7911026826
6018400173013870145000000020183380000000370638000029 PR-06765100000576344.62171527.7811026826
6018700255000170052000000020190380000044780628000029 PR-05806000000576289.75169706.8611026826
601890065100020023500235  20002790000004630218000029 06025000000000573189.30171726.4911026826
601900020500050000200002  20022320000000960752210029 06021000000098572706.78170622.0411026826
6018600950000000019000000020162230000094400158000029 PR-05490000000576810.89171016.4011026826
601840054300020047100471  20001920000007030528000029 06073000000000575486.72171539.7311026826
601860037200080025700257  19991940000013280708000029 PR-05084000000577813.58169215.3111026826
601960035900020014100141  19992010000013670568000029 PR-05065000000575686.29166922.1111026826
601880048500020003100031  20010810000003990468000029 PR-05195000000573982.50170074.2111026826
601880057900030003100031  20010810000001800182210029 PR-05195000143573438.51169887.1211026826
601880063400000011600120  20002000000030500498000029 06023000000000573085.83170315.9511026826
601840060100000037600376  20003040000000700592210029 PR-05454000729575682.75171409.6011026826
601840044600000000300003  20003210000002500638000029 PR-05455000000575181.30171861.0611026826
601880003200030000100141  20020780000014760568000029 PR-05201000000575550.23170517.6611026826
601860048500030025900259  20030520000019040188000029 06051000000000576693.36169930.5611026826
602110085300000029100291  20020350000156930568000029 PR-05108000000576873.42162356.8911026826
601840059900020037600376  20003040000001490608000029 PR-05454000000575689.86171430.2111026826
6020500329000100124000000020162460000050000448000029 PR-05378000000575935.42164391.6511026826
6018700317001500636000000020162920000009430638000029 06236000100000575823.24169540.5011026826
602080083500030006200062  20001870000000800078000029 PR-05117000000570506.33163663.3011026826
601950003500040023800238  20002200000006620598000029 06022000000000573486.83168195.2711026826
602100000600270001500090  20002440000001450468000029 06001000000000573287.40163336.8411026826
602100002700080001800088  20002440000057430568000029 06006000000000572905.51163534.2411026826
601930030600000030200302  20003290000017610458000029 06029000000000568912.00167894.6011026826
601930030600000030200302  20003290000013110458000029 06029000000000568912.00167894.6011026826
601930030600000030200302  20003290000051250458000029 06029000000000568912.00167894.6011026826
601930046200010008100081  20002310000024500488000029 06042000000000569153.68167671.7911026826
6018700329000100478000000020131290000007250508000029 06192000000000575982.30169354.4311026826
6021100817000000077000000020172000000112630568000029 06064000000000576388.94161607.2611026826
6021100820000200077000000020172000000003580638000029 06064000100000576574.35161632.6911026826
6018600473000270040000000020192250000012760568000029 PR-05542000000576919.31169726.6211026826
6018801073001870057000000020192050000020290548000029 PR-05643100000573152.94168839.1611026826
6018400991000000161000000020131540000004150638000029 06375000000000576054.54170701.7711026826
601930182700000067900679  20023380000000180162210029 PR-05290000212568827.89168475.5211026826
6020600802001000371000000020132060000004050668000029 06120000100000574676.32166072.8611026826
601970017500160030600306  20030520000000930212210029 PR-05112000145576821.10167639.6511026826
6018400991000000161000000020131540000003430638000029 06375000000000576036.30170711.0611026826
6018900334000400091000000020132520000007600468000029 06117000000000575313.24171327.7911026826
602100037900000003900175  20030630000044630408000029 PR-05073000000573752.74163472.4511026826
601840121700050082000820  20010810000001150638000029 PR-05565000000575896.09171354.4311026826
601840121700090082000820  20010810000004860658000029 PR-05565000000575901.99171410.2311026826
601840121700150082000820  20010810000000470638000029 PR-05565000000576005.08171728.6311026826
6018400069000600055000000020191030000000200528000029 06517000100000575487.67171908.0211026826
6018600230000000029000000020190910000000180678000029 PR-05534000000578024.43168746.0511026826
6018800868000400146000000020190770000000090528000029 PR-05635000000572545.46168541.6311026826
6019301551000270053000000020190770000000430408000029 PR-05814000000569948.81168930.5311026826
6020700463000000064000000020132660000006040598000029 06038000000000571386.42165675.7311026826
6021100353000400249000000020131060000000840588000029 PR-05286000085574217.08161479.1511026826
6018400233000700771000000020183650000001180638000029 PR-06756000000576144.32171600.7311026826
6018600401000670028000000020183520000004000708000029 PR-05528100000577772.25169443.2111026826
601840061800040079700797  20002490000001240608000029 PR-05435000000575694.63171283.8111026826
6019700559000000308000000020132190000005790468000029 PR-05280000000576053.80166180.5411026826
601930170300020067800678  20021930000165510568000029 PR-05277000000569354.45168867.0111026826
6019700731000200331000000020193540000000780542210029 06115000000089577363.23167333.3011026826
6020700895000200025000000020193390000000060518000029 06069000000000572117.83165693.6411026826
602070048500010018000180  20001450000005420218000029 PR-05041000000571276.59165762.1811026826
6018800340000170056000000020191850000012540568000029 PR-05641000000574295.40170190.0511026826
601930169000000014400244  20001660000101950678000029 PR-05212000000568744.58168660.9911026826
601920023200030014500199  20002660000009710558000029 06017000000000571376.69169543.6211026826
6019500549000100170000000020171650000012640498000029 06092000000000574442.39168187.2711026826
601930176200000015400154  20030830000014960678000029 06071000000000570033.37167840.6911026826
601840022700080005500055  20030790000001070638000029 06113000100000576116.95171380.5011026826
